# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0 0 1 100000 1 1 10415.395 0.29682627 0 -0.64768719 0.25 -0.5 0 -0.39768719 0 0 0 0 0 -0.64768719 0.81036687 8.6870338 0.13922173 0.8398217 0.21271628 0.49361182 0 3833.2832
1.0111745e-05 1.0111745e-05 1 99989 0.99996834 0.99926952 10415.297 0.29682516 6.3644863 -0.65140375 0.24968578 -0.4997366 0 -0.40135695 0 4.0269615e-06 0 0 0 -0.65140375 0.81599429 8.6870627 0.13922176 0.83982324 0.21271607 0 0 3833.2789
1.7113069e-05 7.0013235e-06 2 99989 0.99996688 1.0001154 10222.753 0.28957414 8.4592165 -0.65126285 0.25011071 -0.5001637 0 -0.40121389 0 4.0269615e-06 0 0 0 -0.65126285 0.81692025 8.3871524 0.14339482 0.84993366 0.21208027 0 0 4015.9597
2.158694e-05 4.4738709e-06 3 99990 0.99996595 0.9949114 11042.685 0.28457772 10.320949 -0.65113713 0.24750623 -0.49754426 0 -0.40110313 0 4.0269615e-06 0 0 0 -0.65113713 0.81221098 11.044168 0.1251946 0.85152307 0.20227053 0 0 3965.2435
2.8484911e-05 6.8979713e-06 4 99990 0.9999645 1.0010891 10095 0.28708598 6.4071811 -0.65106095 0.25059638 -0.50064752 0 -0.40101383 0 4.0269615e-06 0 0 0 -0.65106095 0.8123184 8.1542029 0.14534105 0.84942169 0.22135452 0 0 4627.3846
3.8529565e-05 1.0044654e-05 5 99989 0.99994888 0.99794216 11533.321 0.28641266 11.572393 -0.65098549 0.24902707 -0.49908117 0 -0.40094046 0 9.1990428e-06 -1.3107539e-07 0 0 -0.65098549 0.81347589 11.991732 0.11944114 0.84652391 0.19862132 0 0 3846.4078
4.0120311e-05 1.5907461e-06 6 99990 0.99994854 0.9964738 11104.444 0.28724735 10.495838 -0.65092952 0.24850719 -0.49877315 0 -0.40067263 0 9.1990428e-06 -1.3107539e-07 0 0 -0.65092952 0.82232455 9.3966183 0.13630481 0.85514801 0.19591339 0 0 3523.0682
4.5958e-05 5.8376894e-06 7 99991 0.99994731 1.0010249 10043.993 0.28609069 6.789955 -0.65088354 0.25078676 -0.50105998 0 -0.4006194 0 9.1990428e-06 -1.3107539e-07 0 0 -0.65088354 0.81250948 9.1837415 0.13639708 0.84597827 0.20198899 0 0 3534.9098
5.5737273e-05 9.7792725e-06 8 99989 0.99993 1.0014603 12081.261 0.28480382 10.516381 -0.6508257 0.25100089 -0.50126978 0 -0.40057352 0 1.6842183e-05 -1.3107539e-07 0 0 -0.6508257 0.81254137 12.615882 0.1167779 0.84891417 0.18423114 0 0 3270.122
6.1427342e-05 5.6900693e-06 9 99987 0.99991394 1.0030972 11233.313 0.28397278 17.091007 -0.65079096 0.25183583 -0.50211649 0 -0.40053421 0 2.4028694e-05 -1.3107539e-07 0 0 -0.65079096 0.81435971 11.183583 0.12532953 0.85780424 0.21667576 0 0 4990.0943
6.9183435e-05 7.7560931e-06 10 99984 0.99989811 1.0055232 10808.249 0.28368604 16.019545 -0.65074368 0.25304851 -0.5033171 0 -0.40049974 0 2.4773874e-05 -1.3107539e-07 0 0 -0.65074368 0.81830404 11.126996 0.12433107 0.8488148 0.1900943 0 0 3251.9865
7.3918721e-05 4.7352858e-06 11 99984 0.99989711 1.0047079 12166.052 0.28365306 16.046918 -0.65071342 0.25263607 -0.50290453 0 -0.40046961 0 2.4773874e-05 -1.3107539e-07 0 0 -0.65071342 0.80348332 12.064948 0.12103987 0.86046947 0.21688348 0 0 5438.344
7.7903799e-05 3.9850785e-06 12 99984 0.99989626 1.0077562 8430.7672 0.28789474 16.659219 -0.65070085 0.25419343 -0.50447406 0 -0.40044486 0 2.4773874e-05 -1.3107539e-07 0 0 -0.65070085 0.8138182 7.114491 0.15649306 0.85430178 0.24351144 0 0 5101.807
8.6689415e-05 8.7856157e-06 13 99982 0.99989103 1.000611 9523.0709 0.28763089 13.695226 -0.65068441 0.25059537 -0.50088472 0 -0.40042099 0 2.6055207e-05 -1.3107539e-07 0 0 -0.65068441 0.81536072 8.4586989 0.1438775 0.85642429 0.22264021 0 0 4416.5306
9.868663e-05 1.1997215e-05 14 99981 0.99988095 1.0048153 9463.4951 0.28272417 24.242424 -0.65063921 0.25268968 -0.50295744 0 -0.40039954 0 2.8221207e-05 -1.3107539e-07 0 0 -0.65063921 0.81290025 8.9463419 0.14011604 0.85773852 0.20117788 0 0 3409.5998
0.00010252659 3.8399636e-06 15 99980 0.99987818 1.005643 9968.5746 0.28691575 24.345319 -0.65063612 0.25312534 -0.50340993 0 -0.40038119 0 2.9785825e-05 -1.3107539e-07 0 0 -0.65063612 0.8079614 9.4292529 0.13551244 0.85165188 0.22795794 0 0 4999.586
