# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
0.000000000e+00 2.749892e-02 3.723889e-02 5.044667e-02 5.642066e-02 5.803148e-02 5.875637e-02 8.679152e-02 1.016591e-01 1.093559e-01 1.218148e-01 1.218731e-01 1.889377e-01 2.381715e-01 2.814437e-01 3.092100e-01 3.199031e-01 4.423266e-01 5.578030e-01 6.780381e-01 8.151453e-01 9.594806e-01 1.171554e+00 1.436031e+00 1.885805e+00 2.988416e+00 
9.033035684e-06 3.767766e-02 4.840173e-02 5.463608e-02 5.506163e-02 5.514171e-02 5.550902e-02 7.962674e-02 9.955772e-02 1.130158e-01 1.279038e-01 1.326623e-01 1.915202e-01 2.395465e-01 2.755301e-01 3.044843e-01 3.175962e-01 4.399652e-01 5.563327e-01 6.782103e-01 8.197481e-01 9.714753e-01 1.169493e+00 1.431569e+00 1.876940e+00 2.979543e+00 
1.914688475e-05 2.866886e-02 4.399442e-02 4.441110e-02 4.994058e-02 5.491207e-02 5.841456e-02 7.671836e-02 8.910770e-02 1.108158e-01 1.249790e-01 1.274407e-01 1.914412e-01 2.321855e-01 2.676883e-01 3.002428e-01 3.129830e-01 4.325336e-01 5.564880e-01 6.734489e-01 8.137625e-01 9.639548e-01 1.163050e+00 1.449907e+00 1.881402e+00 2.950726e+00 
2.866616607e-05 2.507525e-02 3.506613e-02 4.699560e-02 4.935159e-02 5.059043e-02 5.340447e-02 7.242954e-02 9.375997e-02 1.113966e-01 1.247735e-01 1.320816e-01 1.931357e-01 2.399323e-01 2.677028e-01 3.013215e-01 3.133982e-01 4.358521e-01 5.523282e-01 6.739428e-01 8.206571e-01 9.609559e-01 1.148807e+00 1.421562e+00 1.881480e+00 3.025288e+00 
4.493527558e-05 2.819570e-02 3.096643e-02 3.490355e-02 4.459056e-02 4.798260e-02 5.021224e-02 7.894272e-02 9.772656e-02 1.090976e-01 1.258823e-01 1.300983e-01 1.942041e-01 2.414329e-01 2.725723e-01 3.041451e-01 3.220096e-01 4.393740e-01 5.530038e-01 6.646599e-01 7.995808e-01 9.597259e-01 1.140978e+00 1.418069e+00 1.867970e+00 2.958756e+00 
5.020861028e-05 1.727273e-02 4.229804e-02 5.188188e-02 5.273895e-02 5.462971e-02 5.603932e-02 8.706277e-02 1.059978e-01 1.215297e-01 1.335489e-01 1.384817e-01 2.037773e-01 2.415771e-01 2.792703e-01 3.104428e-01 3.240498e-01 4.431941e-01 5.558877e-01 6.808672e-01 8.200533e-01 9.573961e-01 1.155417e+00 1.439315e+00 1.861926e+00 2.976301e+00 
5.766398429e-05 3.415784e-02 4.962968e-02 5.180770e-02 5.626367e-02 6.027602e-02 6.096563e-02 8.810034e-02 9.833018e-02 1.102381e-01 1.201677e-01 1.249522e-01 2.045871e-01 2.445446e-01 2.779046e-01 3.113239e-01 3.254394e-01 4.473566e-01 5.610947e-01 6.779336e-01 8.114715e-01 9.627964e-01 1.168688e+00 1.460831e+00 1.918947e+00 2.962858e+00 
6.370417215e-05 3.500240e-02 4.405466e-02 5.045343e-02 5.747522e-02 6.425975e-02 6.885832e-02 9.623993e-02 1.158410e-01 1.275878e-01 1.377119e-01 1.431224e-01 1.962016e-01 2.340120e-01 2.701738e-01 3.036239e-01 3.195208e-01 4.488958e-01 5.701661e-01 6.840873e-01 8.207577e-01 9.831402e-01 1.172314e+00 1.454265e+00 1.895154e+00 2.937068e+00 
6.884849119e-05 2.996771e-02 4.081217e-02 4.594463e-02 5.034235e-02 6.108977e-02 6.296630e-02 8.093047e-02 1.017195e-01 1.110427e-01 1.204114e-01 1.257288e-01 1.883347e-01 2.352945e-01 2.695077e-01 2.992401e-01 3.132453e-01 4.468052e-01 5.721588e-01 6.921279e-01 8.398174e-01 9.786259e-01 1.183778e+00 1.464975e+00 1.896350e+00 2.976726e+00 
8.073443671e-05 1.864071e-02 4.088275e-02 5.006174e-02 5.448424e-02 5.628497e-02 5.890017e-02 9.417135e-02 1.126480e-01 1.251230e-01 1.384821e-01 1.447576e-01 2.058778e-01 2.432504e-01 2.784570e-01 3.065547e-01 3.227648e-01 4.506637e-01 5.537065e-01 6.834039e-01 8.205765e-01 9.712049e-01 1.155649e+00 1.448901e+00 1.873772e+00 3.036971e+00 
8.859896538e-05 3.296946e-02 3.932667e-02 4.080403e-02 4.319416e-02 4.652565e-02 5.260899e-02 7.301228e-02 9.752049e-02 1.100455e-01 1.160477e-01 1.182203e-01 1.843822e-01 2.324536e-01 2.728617e-01 3.003069e-01 3.105874e-01 4.348482e-01 5.604927e-01 6.857013e-01 8.219708e-01 9.785632e-01 1.162549e+00 1.453126e+00 1.888012e+00 3.030492e+00 
9.597618580e-05 2.355216e-02 3.413208e-02 4.061646e-02 4.491370e-02 5.046688e-02 5.389949e-02 7.959591e-02 8.808148e-02 1.027092e-01 1.123088e-01 1.164948e-01 1.790638e-01 2.304756e-01 2.652698e-01 2.991479e-01 3.127410e-01 4.347164e-01 5.500873e-01 6.682417e-01 8.069376e-01 9.667909e-01 1.174078e+00 1.461273e+00 1.917397e+00 3.026008e+00 
1.017958149e-04 2.525822e-02 3.608485e-02 4.075345e-02 5.237298e-02 5.883869e-02 6.130865e-02 8.613811e-02 1.059001e-01 1.163940e-01 1.263515e-01 1.321771e-01 1.918039e-01 2.315080e-01 2.683666e-01 2.900746e-01 3.071028e-01 4.274454e-01 5.376545e-01 6.603518e-01 8.080494e-01 9.635418e-01 1.163563e+00 1.449923e+00 1.872395e+00 2.953346e+00 
