# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
0.000000000e+00 1.848014e-02 3.201793e-02 3.514476e-02 3.622529e-02 4.509610e-02 4.704197e-02 8.730583e-02 1.012493e-01 1.149480e-01 1.245331e-01 1.281685e-01 1.909181e-01 2.329314e-01 2.668167e-01 2.949530e-01 3.078240e-01 4.273327e-01 5.331520e-01 6.482275e-01 7.673252e-01 9.246883e-01 1.131229e+00 1.458603e+00 2.179954e+00 7.042681e+00 
1.092362196e-02 2.978677e-02 4.297401e-02 4.878970e-02 5.148537e-02 5.560332e-02 5.626981e-02 8.644283e-02 1.031442e-01 1.167779e-01 1.283946e-01 1.316431e-01 1.946341e-01 2.376651e-01 2.677347e-01 2.972904e-01 3.117631e-01 4.297164e-01 5.409725e-01 6.494031e-01 7.795414e-01 9.297683e-01 1.130999e+00 1.466319e+00 2.218564e+00 7.392839e+00 
2.125468199e-02 2.746672e-02 2.970536e-02 3.825707e-02 5.162964e-02 5.569918e-02 5.900836e-02 8.428189e-02 9.312846e-02 1.040399e-01 1.156539e-01 1.208824e-01 1.882297e-01 2.332446e-01 2.652149e-01 2.937819e-01 3.101863e-01 4.232646e-01 5.298772e-01 6.415335e-01 7.768003e-01 9.348338e-01 1.159637e+00 1.502809e+00 2.262730e+00 7.471558e+00 
3.265098066e-02 2.282603e-02 2.965244e-02 3.490881e-02 4.078838e-02 4.854390e-02 4.969308e-02 7.388945e-02 8.955017e-02 1.032569e-01 1.198368e-01 1.250287e-01 1.905547e-01 2.300865e-01 2.619476e-01 2.902638e-01 3.034011e-01 4.209434e-01 5.256743e-01 6.407244e-01 7.693240e-01 9.322444e-01 1.144367e+00 1.506018e+00 2.282704e+00 7.621113e+00 
4.193620087e-02 2.626653e-02 4.054967e-02 4.939917e-02 5.217900e-02 5.382313e-02 5.492030e-02 8.192116e-02 9.386036e-02 1.109462e-01 1.216819e-01 1.261612e-01 1.852025e-01 2.247471e-01 2.576934e-01 2.854697e-01 2.989159e-01 4.148287e-01 5.274174e-01 6.363201e-01 7.624146e-01 9.229807e-01 1.155158e+00 1.526600e+00 2.301202e+00 7.788926e+00 
5.406608485e-02 2.505298e-02 3.518584e-02 4.140188e-02 4.441358e-02 4.699221e-02 4.936947e-02 7.930525e-02 9.262771e-02 1.071492e-01 1.176831e-01 1.217609e-01 1.848001e-01 2.249702e-01 2.584025e-01 2.879678e-01 2.998346e-01 4.165918e-01 5.283178e-01 6.431423e-01 7.737561e-01 9.369240e-01 1.172624e+00 1.531493e+00 2.275595e+00 7.420856e+00 
6.274722808e-02 2.415001e-02 3.503107e-02 4.241916e-02 4.376289e-02 5.002060e-02 5.240761e-02 7.693717e-02 1.020241e-01 1.127638e-01 1.212263e-01 1.255332e-01 1.851604e-01 2.265008e-01 2.560347e-01 2.826762e-01 2.940273e-01 4.139124e-01 5.223073e-01 6.382125e-01 7.705874e-01 9.361018e-01 1.161772e+00 1.518858e+00 2.324701e+00 8.055258e+00 
7.171547022e-02 3.646055e-02 4.930566e-02 5.205210e-02 6.448189e-02 6.568111e-02 6.570720e-02 9.812605e-02 1.084673e-01 1.180008e-01 1.269868e-01 1.310320e-01 1.839352e-01 2.230165e-01 2.543589e-01 2.823121e-01 2.934931e-01 4.084580e-01 5.192898e-01 6.324511e-01 7.597671e-01 9.292744e-01 1.161945e+00 1.529279e+00 2.331931e+00 7.804471e+00 
8.250679649e-02 1.358540e-02 3.661845e-02 5.240550e-02 5.533570e-02 5.792855e-02 6.278673e-02 8.704582e-02 1.052324e-01 1.125195e-01 1.216052e-01 1.275230e-01 1.784267e-01 2.190581e-01 2.496612e-01 2.778569e-01 2.907289e-01 4.116365e-01 5.194279e-01 6.372848e-01 7.637598e-01 9.384087e-01 1.172775e+00 1.541956e+00 2.340914e+00 8.004618e+00 
8.810431061e-02 1.822028e-02 2.995041e-02 3.527128e-02 3.878459e-02 4.414430e-02 4.611251e-02 7.398815e-02 8.724354e-02 1.078372e-01 1.149352e-01 1.193628e-01 1.741185e-01 2.106789e-01 2.457145e-01 2.736967e-01 2.886053e-01 4.050795e-01 5.139425e-01 6.330429e-01 7.639642e-01 9.421299e-01 1.187264e+00 1.540735e+00 2.329048e+00 8.067347e+00 
